;Question;Response
10;Intolerable Acts was;"a series of short stories by Janny Wurts. Contents show] Publisher's summary Edit The year is 2145. Humanity has colonized the solar system, but there are no signs of life beyond a few planets and an asteroid belt that orbits the sun. In this time, a group of scientists, led by Dr. Robert Heinlein, discover a new form of life on a planet they call Terra. The discovery is hailed as a breakthrough in the search for extraterrestrial life, but Heinlein's critics accuse him of plagiarizing his science fiction novel Stranger in a Strange Land and the short story ""Trouble in Paradise"" to create a new genre of ""fantasy"" that is not science fiction at all. Plot summary Edit The story begins with a young woman named Jane who is about to graduate from high school and embark on a career in the entertainment industry. After her graduation, she goes to work as a production assistant on a"
11;George Washington was;"a slave. In 1820, the Supreme Court ruled that slavery was legal in the United States, a decision that would have a profound impact on the lives of African Americans for generations to come. But that decision was overturned in 1857 by the Dred Scott decision, which declared that the right to own a slave was a ""privilege, not a right."" Today, there are more than 1.2 million slaves in the United States, according to the U.S. Census Bureau. The number of slaves is expected to rise to more than 2 million by 2060, and that's just the tip of the iceberg when it comes to the slave trade. ""We have a lot of people out there who are not aware of this,"" Dr. Martin Luther King Jr. said in a speech to the NAACP in 1963. ""It's time to get the word out that this is a crime against humanity."" The Slave Trade in the 19th Century"
12;Declaration of Independence was;"the first in a series of constitutional amendments to the U.S. Constitution. It established the United States as a republic, which is a form of government in which the people are sovereign and have the right to decide their own government, as well as how that government is run. In other words, the government is run by the people, not by the government. This is what we mean when we say ""democracy"" or ""republican government."" The Declaration of Independence states in Article 1, Section 8: ""We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness."" These rights are protected by the First Amendment to the U.S. Constitution, which states: ""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of"
13;Which ways did the Great Awakening contribute to the independent spirit of American colonists?;I think it's fair to say that the most important factor was the Enlightenment, which gave us a sense of the world as it was and not as we wanted it to be. That was an important step in the development of the United States as a nation. But there were other factors as well. For one thing, we had a lot of people in the New World who were looking for something to believe in—that the world was going to be different from what it was before and that they had a right to be part of it. And they did, in large part, by forming religious communities and joining together to fight for their beliefs. What was the relationship between religion and political power in the United States? Religion played a very important role in the political life of the United States. In 1776, the Articles of Confederation were signed, and that created the basis for the Constitution of the United States. It was a very religious document, with references to God
14;What effect did the Glorious Revolution have on the American colonies?;It is difficult to say what effect the Glorious Revolution had on the American colonies. There are a number of theories that have been put forward by historians, but none of them are conclusive. One theory is that the Revolution was a turning point in American history, and that this is the reason why Americans are so angry with the British government and their government in the United Arab Emirates (UAE). The other theory is that the British did not have the right to take over the American colonies, and that they were forced to do so by the French and the Americans. This theory is based on the fact that the French had a treaty with the Americans that guaranteed the independence of the American colonies, and that the Americans refused to ratify this treaty. In other words, the French and the Americans were in a position of power and influence in the American colonies, and this made them the aggressors. How many Americans were killed during the Revolutionary War? According to a survey conducted
15;Imagine you are a colonist in 1767, unhappy about Britain’s policies toward the colonies. Write a pamphlet explaining your position and urging other colonists to sup-port resistance efforts.;The pamphlet would be read by a group of colonists and the pamphleteer would be shot and killed in cold blood as a warning to others. This is what happened to George Rogers Clark, a British-born abolitionist who wrote The Abolition of Slavery in the United States (1834). In the 19th century, there were a number of attempts to assassinate British Prime Minister Benjamin Disraeli, but none of these were successful. One reason may be that Disraeli was a strong supporter of the abolitionist cause and had no qualms about assassinating those who opposed his policies. Another reason may be that the British did not have the manpower to carry out an assassination on such a large scale. Finally, it is worth noting that, as noted above, British troops were in the field at the time of the assassination attempt, and they could have prevented it from taking place. The most famous assassination attempt on a British prime minister was in 1857,
16;Articles of Confederation was;"the first to use the term ""Confederate States of America"" in its title. The Articles of Confederation, a set of laws passed by the Continental Congress in 1777, established the United States of America as a federal republic, with each state having its own legislative, executive, and judicial branches. In order to avoid conflict with the British Crown, the Articles stipulated that the federal government would be composed of three branches: the House of Representatives, the Senate, and the Supreme Court. The first two branches were created by the Articles, and the third was created by the U.S. Constitution. Article I, Section 8 of the Articles of Confederation states in part: The Congress shall have power to lay and collect taxes, duties, imposts and excises, to pay the debts and provide for the common defence and general welfare of the United States; but all duties, imposts and excises shall be uniform throughout the United States; and a"
17;Northwest Ordinance was;the first of its kind in the United States. It prohibited a woman from wearing pants in public, and required men to cover their heads when they walked down the street. The ordinance was repealed in 1887, but not before women were forced to leave their homes and work as maids, nannies for wealthy families, and housekeepers to pay for their husbands' health insurance. In the 1920s, a group of women led by Mary Wollstonecraft wrote The Age of Innocence, a book that argued for women's suffrage and the right to vote. They were denied the right to vote in the U.S. until 1920 and again in 1920 when the Supreme Court ruled in Reynolds v. Sims that women were not citizens of the United States. The Women's March on Washington is expected to draw thousands of marchers, but organizers are hoping the event will be a one-day event, rather than a multi-day march. Organizers
18;Shays’s Rebellion was;"a series of battles in the year 2 BBY between the Confederacy of Independent Systems (CIS) and the Galactic Republic. Contents show] Prelude Edit ""I have no idea what you're talking about."" ―Obi-Wan Kenobi [src] The Clone Wars began in 22 BBY, when Count Dooku, a Separatist general, launched an invasion of the Republic.[1] The Republic responded by sending a task force to destroy the droid army, which was composed of droids built by the Trade Federation and other corporations in order to gain access to the galaxy's resources and resources that were in the hands of the Republic. However, this force was unable to stop Dooku's invasion due to the Jedi Order's lack of knowledge of the droid army's capabilities and the fact that the Republic had no means of defending itself against the droid army's advanced weapons and tactics.[2] In response, the CIS began a"
19;Constitutional Convention was;the first of its kind in U.S. history. It took place in Philadelphia on the first Monday in July 1787 to discuss the constitution of the United States. What is the Constitution? The Constitution is a document that sets the rules for the government of the United States. It was written by the Founding Fathers and ratified by the states in 1787. This means there are two versions of the Constitution, one for the federal government and one for the states. Each state has its own set of rules for how they are going to run their government. For example, New York is a state of the United States, but the state constitution does not allow them to pass laws that conflict with federal law. In other words, New York's laws are different from those of other states. How do I get involved in the Constitutional Convention? You can sign up for the Convention by sending an email to delegates@constitution.org. This is a great way to
20;Great Compromise was;a very different beast to the one we had in the first game. It had to do with the amount of enemies in the game, which was more or less the same as in the first game, but there were a lot more of them. We wanted to make it a little more challenging, but at the same time not so much that it was a game of dodging and running around, but more of a game of taking out as many enemies as you can before they get to you. So that's the difference between the two games. The difficulty is a little bit more in Dark Souls 2, but not so much that you're going to have to play the game to the last boss in order to beat it. IGN: What was the inspiration for the game's music? Yoshida: I'm a big fan of classical music, so the music that we used in the opening and the ending was inspired by a lot of classical music. It's
21;Three-Fifths Compromise was;a compromise between the Republicans and Democrats. In order to pass the three-fifths compromise, both parties had to agree to some form of tax increase on the wealthiest Americans. This is the basis of the estate tax, which is levied on inheritances over $5.49 million. The tax has been in place since 1913, and it was designed to raise revenue for the government by reducing the amount of money that estates are able to pass to their heirs. However, since its inception, the estate tax has proven to be a highly regressive tax, as well as one that does little to help the middle class. According to the Tax Policy Center, the top 1 percent of income earners pay an average tax rate of 39.6 percent, while the bottom 50 percent of earners pay an average tax rate of just 12.3 percent. This disparity is due in large part to the fact that the wealthiest Americans have a lot of money, and are able to pass their wealth on
22;Federalists was;"the name of a political party founded in 1848 by William Tompkins. It advocated a strong central government, the abolition of slavery, and an end to the ""tender mercies"" of the Federalists, who were opposed to these ideas. The name was derived from the fact that Tompkins was a slaveholder and a member of the Whig Party. In the United States, there are two versions of the Constitution: the U.S. Constitution as it was adopted in 1787 and the U.S. Constitution as it was adopted in 1791. Both versions have the same text, but differ in how they are written. For example, the 1787 version states that the President is the Commander in Chief of the Armed Forces of the United States, while the 1791 version states that the President is the Chief Executive Officer of the federal government. History [ edit ] [2] and ""the most powerful man in the world"""
23;Antifederalists was;"the name of a political party that advocated the secession of the United States from the Union. In 1864, the Southern Poverty Law Center (SPLC) began to compile a list of anti-federalists, and the name was changed to the American Freedom Party (AFP). The AFP was founded in the summer of 1864 by William Jennings Bryan, a former slave-trader and abolitionist. Bryan had been elected to the U.S. House of Representatives in 1858 and served as vice president under Abraham Lincoln from 1861 to 1865. In his speech at the Republican National Convention in 1864, Bryan called for the ""abolition of slavery"" and said, ""I am a free man because I have renounced the negro race, and I do not intend to be any longer a slave."" Brazile's book describes the history of the AFP as follows: On the night of July 4, 1864, a mob of over 1,000 white"
24;Explain why the Antifederalists opposed the Constitution.;"What is the difference between a state and a federal government? Why do you think the Constitution was written in 1787? Who wrote the Constitution? How many amendments have been proposed to the Constitution? What are the three branches of government? What is the role of the Supreme Court? What is Article V of the Constitution? What is the meaning of the phrase ""sui generis"" in the Constitution? What is the meaning of the phrase ""one person, one vote"" in the Constitution? What is the meaning of the phrase ""equal protection of the laws"" in the Constitution? What is the meaning of the phrase ""due process of law"" in the Constitution? What is the meaning of the phrase ""procedural due process"" in the Constitution? What is the meaning of the phrase ""the enumeration in the Constitution, of certain rights, shall not be"
25;How was the Constitution written as a flexible framework of government?;It was written to allow the people to govern themselves in a way that they saw fit. That's the way it was written. The framers were trying to get as close to that as they could without going off the rails. Why do you think people are so opposed to the government being involved in health care? I think it's a symptom of the fact that we have a lot of problems in this country, not just health care. The biggest problem we have is the lack of trust in government. People feel like their government is out to get them, and that's not good for our country. What's your take on the Supreme Court's Citizens United decision that opened the floodgates for super PACs to spend unlimited amounts of money in elections? That's an interesting question. There are two ways to look at it. One is that it's a decision that has the potential to undermine the First Amendment, which is one of the most important
26;Did the Articles of Confederation or the Constitution provide a better way to solve the problems facing the nation? Explain.;What is the Constitution and how does it work? Explain. Why do we need a Constitution? Explain. Is there a difference between federalism and decentralism? Explain. What is an Article V Convention of States? Explain. How can I get involved in the Constitutional Convention of the States? Describe your role and how you can help. What are the qualifications for being a delegate to the Constitutional Convention of the States? Describe your role and how you can help. What is the role of the Constitution in our Constitutionally-mandated government? Explain. What is the role of the Federalist Papers, the Declaration of Independence, and the Constitution as a whole? Explain. What is the role of the Supreme Court in our Constitutionally-mandated government? Explain. What is the role of the House of Representatives and the Senate in our Constitutionally-mandated government? Explain.
27;Take on the role of a Federalist or an Antifederalist at a state ratifying convention. Write a speech in which you try to convince your audience to either accept or reject the new Constitution.;You can do this by speaking from the point of view of the people, or you can use your speech to argue for the ratification of the new Constitution. Either way, the goal is to make it clear that you are a Constitutionalist and not a Federalist. This is a great way to get people to think about the Constitution in a new way, and it can be done in a variety of ways. For example, you can: Speak from the point of view of the people and explain why the Constitution is the best way to govern the United States. Argue that there is no reason to change the Constitution, and that the people have a right to do so. Explain why the Federalist Party is better than the Democratic Party, and why the Democratic Party is the lesser of two evils. Write a speech that is designed to convince the people that the Constitution is good and should be ratified as soon as possible.
28;Francisco Pizarro was;"a member of the ""La Guardia Committee"" that drafted the U.S. invasion of Mexico in 1846. In the mid-1800s, Pizarro's brother-in-law, Antonio López de Santa Anna, became the first president of Mexico after the death of his father in 1848. Santa Anna had a close relationship with the United States, and the two countries fought a series of skirmishes over the next two decades. In 1856, a Mexican army under the command of Gen. José María de Oñate captured the capital of the United States, Washington, D.C. The war ended in 1858, but not before thousands of American soldiers died in the Mexican-American War (1846-1848). ADVERTISEMENT Thanks for watching! Visit Website ADVERTISEMENT Thanks for watching! Visit Website Pizarro, however, did not see himself as a war hero. Instead, he believed that Mexico's future lay"
29;Popé was;"a member of the National Front, a far-right party in France. He had a history of anti-semitic and antisemitic statements, according to the BBC's Hugh Schofield in Paris. Image copyright AFP Image caption Marine Le Pen (L) and Geert Wilders are leading the right-wing National Front (FN) in France Mr Wilders, a eurosceptic, has called for a ban on the Koran and the burkini, which covers the body from head to toe. The two leaders of the FN, Marine Le Pen and Geert Wilders, are leading the party in opinion polls ahead of the presidential election in April. In a video posted on his Facebook page last week, Mr Wilders said: ""Islam is a cancer that must be eradicated from the face of the earth, and I am the only one who can do it."" Ms Le Pen said she would ""defend"
30;Explain how the fur trade contributed to the slow growth of New France.;What was the relationship between fur trading and the French Revolution? In 1789, France was in the throes of a civil war. The Jacobins, led by Louis XVI, wanted to abolish the monarchy and replace it with a republic. This was an attempt to bring France into the modern world by abolishing feudalism and creating a modern state. The French Revolution had its roots in the slave trade, which was a way of extracting wealth from the slaves and selling it to the rich. This led to the abolition of slavery in France and the rise of the working class. The fur trade helped to make this possible. Why do you think it was important to get rid of the fur trade? Fur trade was one of the most important factors in the French Revolution. It was used as a means of wealth extraction and the sale of slaves. The fur trade was the first step in the process of enslaving the French people. How did the fur
31;The king of Spain created a scheme to oversee his empire in America. What system did he use to govern the distant colonies?;A king was the head of a state, and the colonies were his subjects. He had no power over them except as a protector of their rights to life, liberty, and the pursuit of happiness. They did not have the right to vote for a king, nor did they have the right to make him their king. In 1619, King Charles II of Great Britain, a man of the world, declared himself king of the English-speaking world. His claim to the throne was based on the fact that he was the son of William the Conqueror, who had conquered England in 1066. The British Empire stretched from the Atlantic seaboard to the Himalayas, and was the largest in the world at the time. Charles II was born in the town of Boulogne-sur-Mer, France, on March 3, 1536. His father, King Henry VIII, was an aristocrat and a devout Catholic. Henry VIII married Anne Bo
32;Why did the various groups of Spaniards come to North America?;In 1519, a group of about 100 Spaniards landed in what is now New York, and the Spanish were welcomed with open arms. They built a fort on Long Island to protect themselves from Native Americans, and in 1520, they began trading with the Native Americans. What was the relationship between the Spanish and the Native Americans? It was a mutual respect for each other, but there was no love lost between the two groups. The Spanish had a lot of land to work, and many of the Native Americans were landless, living on the fringes of the Spanish empire. They did not have the resources to fight for their independence, which is why they settled in the United States. Why did the Spanish decide to colonize the New World? The Spanish wanted to expand their empire to the Pacific, and they believed it was the best way to do that. It was a time of war, and Spain was in the throes of a
33;Were the French or Spanish colonies more successful? Why?;"In this episode we look at the history of the French and Spanish colonies in North America and what they did to make them successful. The first thing to note is that there is no such thing as a ""success"" in the history of any country. It is a matter of how you define success, which can be as simple as being able to produce a surplus or having the highest per capita income in a country. For example, the United States is the richest country in the world, but it does not qualify as a success because it has not produced a surplus in the past 100 years. In other words, we are talking about different kinds of success. So how did the French and Spanish colonies achieve success? What was their secret? First, let's start with the obvious: they built the roads and railroads that were essential to the success of the colonies. These were the most important means of transportation in the colonial era, and they were built"
34;How did the Catholic Church contribute to the Spanish settlement of the New Mexico territory?;It is difficult to say how much the Spanish contributed to the settlement of the New Mexico territory. However, we know that in 1521 a Spaniard named Diego de Alvarado came to the New Mexico territory with his wife and two children. The Alvarado family was one of the first to settle in what is now New Mexico. They had a ranch and lived on the land for several years before moving to the Rio Grande Valley, where they established a trading post. In 1523, the Alvarado family left the Rio Grande Valley and began to settle in the area now known as Santa Fe. What was the relationship between the Spanish and Native Americans at this time? The relationship between the Spanish and Native Americans was complicated. On one hand, the Spanish wanted to expand their territory and colonize the New Mexico territory. On the other hand, the Indians did not want to be part of Spanish expansion, and were willing to fight to the death for their land
35;Imagine you are an officeholder for the French king and want to support his policies. Write an advertisement for a French newspaper to encourage people to settle in new France.;"How do you go about this? First, you have to find a newspaper that is open to the public, which is a bit of a challenge in today's world where newspapers are owned by a handful of companies. The best way is to look for an advertising agency that specializes in this kind of work. If you are lucky, you might find one of the advertising agencies that has worked for the French government in the past or is in the process of doing so. Once you have found the right agency, it is time to get to work. Your advertisement will be sent to the editor of the newspaper and he or she will decide whether or not to run it. If the editor decides it is in the public interest, they will put it in the paper. If not, it will be removed from the paper and you will receive a phone call from the newspaper telling you that they have no interest in running your ad. This is called ""retraction"" and it is the last"
36;John Cabot was;"a member of the U.S. Navy and served in World War II. Cabot's family said in a statement they were ""deeply saddened by the loss of our beloved father, grandfather, great-grandfather and great-great-grandfather."" ""Our thoughts and prayers are with his family during this difficult time,"" the statement said. A GoFundMe page has been set up to help pay for funeral expenses. The page has raised more than $3,000 as of Tuesday afternoon. The Associated Press contributed to this report."
37;Walter Raleigh was;a member of the U.S. Army Air Corps during World War II. He served as a bombardier in the 8th Bombardment Wing at Holloman Air Force Base, New Mexico, where he was awarded the Distinguished Flying Cross for his actions against the Japanese in the Leyte Gulf. Raleigh died of natural causes in Los Angeles on May 22, 2014. His funeral was held at St. Mary's Church of the Assumption in Santa Monica, California. A GoFundMe page has been set up to raise money for Raleigh's funeral expenses. You can donate at gofundme.com/c0t1kq9
38;Powhatan Confederacy was;"the name given to a confederacy of Native American tribes in what is now South Carolina. The Powhatan Confederacy had its origins in 1780 when British troops under the command of General William Howe arrived in the Carolinas to take control of the region. The British were looking for a way to expand their influence in the region and they decided to establish a colony of their own, which they called ""Powhatan"" in honor of the chief of the tribe, who was known as a war hero and the first governor of the colony. ADVERTISEMENT Thanks for watching! Visit Website ADVERTISEMENT Thanks for watching! Visit Website After several years of fighting, the British withdrew in 1783, leaving the colony to fend for itself. However, the colony continued to grow and by the end of the 19th century it had more than 1,000 members, including a number of prominent men in the South. In 1820, the United States declared war on Great Britain"
39;Explain how tobacco saved Jamestown.;The story of tobacco is a long one. It began in the 16th century when Europeans began to smoke the plant for medicinal purposes. By the mid-1700s, tobacco had become a staple of the English diet, and it was used to treat a variety of ailments, including coughs, bronchitis, rheumatism, gout, tooth acrimony (the pain caused by plaque in the gums), and the common cold. The use of tobacco as a cough suppressant was so widespread that in 1707, King George III issued a decree that anyone over the age of 16 was prohibited from inhaling tobacco, even in private. This was an attempt to protect the health of the young, who were at risk of lung disease from smoking. However, the ban did not apply to children, who were allowed to smoke as long as they were accompanied by an adult. Tobacco's role in the founding of the United States was even more dramatic
40;How did the enclosure movement change England’s society?;In the 19th century, enclosure was a way of life for a lot of people. It was an economic and social system in which people lived in enclosures, which were small, tightly-knit communities. The idea was that you could make a living by growing food for your family and then selling it to the people who lived in the enclosures. This was the basis of the agricultural revolution, which was based on a combination of farming and animal husbandry. What was the impact of enclosure on the English working class? Equestrian enclosures were very important in the development of the industrial labour movement in Great Britain. There were about 1,000 horse and mule teams in the early 1800s, and by the end of the 19th century they were the largest and most important working class trade union in the country. The horses were used to pull wagons, and the team members were paid by the number of horses they pulled. In 1834, a
41;What caused friction in the Maryland colony?;The colonists were in a state of war with Great Britain at the time, and there was no way to settle the colony without a peace treaty. In 1609, John Winthrop, the governor of Massachusetts, signed a treaty with the Dutch that ended the war, but not before the Dutch had taken a number of colonists to the New World. Winthrop's successor, Charles Plantagenet, had a different idea: he wanted to establish a colony in North America, and he sent a ship to England in 1610 to try to secure a trade agreement with the Dutch. But the ship was turned back at sea, and Plantagenet was forced to return empty-handed. What happened next? Plantagenet and his supporters decided to go on the offensive, and they set out to find a new trading partner. They began a series of expeditions that lasted more than a decade, and by 1612 they had landed in what is now Rhode Island, the
42;What factors contributed to the growing rivalry between Spain and England?;It was a long time ago, but I was in the stands at Old Trafford when they played the World Cup in 1966-67. The English had won the tournament the year before, and they were the favourites to win it again. But Spain, led by Luis Figo, came to the tournament with a new team, the Real Madrid team that would go on to win the European Cup in '67-68. Figo's goal was the turning point in the tournament, and it was one of the most memorable goals in football history. How much did it matter to England that their rival was from Spain? It was an important factor, but not the only one. There were other factors as well. For one thing, England had the best players in the world at that time, and they were playing in front of a huge crowd. For another, the two teams were very different in terms of style of play. Spain were a possession-based team, with
43;Take on the role of Captain John Smith of Jamestown. Write a town circular explaining to your fellow colonists why trading with the Powhatan Confederacy is a good survival strategy.;You can play the game by yourself or with up to four friends. It's a fast-paced game with lots of bluffing and bluffing and bluffing until someone loses their head, but there's no time limit to the game, so you can play as long as you want. In addition to the game, we have a print and play version of the game that you can download for free from our website. The rules are easy to read and the game looks great on your table. If you're interested in learning more about the history of Jamestown, check out this video: The Game of the Year Edition is the most complete version of the game, with new rules that have been developed over the past two years. It's available in two versions: the Standard Edition and the Collector's Edition. Both versions come with everything you need to play, including the rulebook, cards, dice, and tokens. The Standard Edition is $
44;William Bradford was;a native of Scotland who came to the United States in 1820. His first book, A History of the State of New York, was published in 1831. His second book, An Account of the State of New York, was published in 1833. Bradford had an interest in the history of his native country, and in 1836 he began to write a history of the state in which he was the author. The first volume of his History of New York (1836) was the first book to be published in the United States by a non-European, and it is considered by many to be the most important work of its kind in the history of the United States. In 1837, Bradford published a second volume of his History of New York, which contained an account of the first year of the American Revolution and the events that led to the establishment of the United States of America. This second volume was entitled The American Revolution and the Rise of the United States
45;Squanto was;"a member of the ""C"" Team. Contents show] Biography and Character Edit No information has been added to this title. Help improve our database by adding background information here. Edit No background information has been added to this title. Help improve our database by adding background information here. Appearence Edit He has a short stature, but is a tall man in his mid-twenties. His hair is black, and he wears a black suit with a white undershirt, black pants, and black shoes. In the anime, he is shown to carry a briefcase and has a white briefcase on his right hand.[1] Personality Edit As an officer of the Special Weapons and Tactics Division, Peacemaker is a cold-blooded killer who enjoys torturing his victims to the point of killing them in order to get what he wants. His methods are brutal, and often result in the death of those he tort"
46;John Winthrop was;a slave owner. In 1820, the state of South Carolina passed a law prohibiting slavery in the state, which was the first of its kind in the United States. This law came into effect on January 1, 1821. In the years that followed, slavery was legal in most of the states in the South, except for a few that had passed anti-slavery laws in the previous decade. By the end of the 19th century, the South had become a slave-owning society, and many people of African descent were forced to live in the South as indentured servants. Slavery in the U.S. began to wane in the mid-1800s, but it continued to be a part of the American social fabric for a long time after that. Slavery was abolished in the District of Columbia in 1871, and in 1882, the Thirteenth Amendment to the U.S. Constitution was ratified by the states
47;Massachusetts Bay Company was;"the first to use the term ""coastal"" in reference to the area. In 1836, the Boston Tea Party began in Boston, and a year later, Massachusetts Bay Company began shipping tea to the United States. By the end of the 19th century, the company had grown to become the largest tea company in the world, with over 1,000 teas shipped every year. Today, there are more than 100 companies that produce tea in Massachusetts, including Boston Tea Company, Green Mountain Tea Company, and many others."
48;Great Migration was;a time of mass migration from the Middle East. It began in the mid-19th century and lasted until the end of World War II. The majority of the migrants were Jews fleeing persecution in their homelands, but there were also a number of non-Europeans, such as Armenians, Assyrians, Greeks, Bulgarians, Romanians, etc. In addition to the Jewish population, other groups were affected by the migration, including the Slavic and Balkan peoples, as well as the native populations of Central and Eastern Europe. Migration to the United States and other Western countries was facilitated by the opening of the transatlantic slave trade in the 18th century, which brought large numbers of African slaves to the New World. This led to the growth of the slave trade in the Americas and the spread of slavery throughout the world. During the 20th century, many European countries became the destination of the migrants, especially after World War II.
