;Question;Response
10;"How does this document reﬂect the ""Forty-Millionaire Carnegie in his Great Double Role"" political cartoon?
";"How does this document reﬂect the ""Forty-Millionaire Carnegie in his Great Double Role"" political cartoon?

Yes, the original cartoon contains the title and an entry stating that the Koch Brothers have funded the Koch Brothers ""super PAC,"" ""National Political Action Committee,"" Koch Media Group,"" ""New York City Project for America"" and ""a new organization founded by Charles and Donald Koch."" On its website, the Koch Brothers promote their ""new"" organizations and ""new ideas"" that ""will bring together conservative grassroots"" and ""civil democratic activists."" ""We are in the process of organizing a number of volunteer-driven events at an early start of 2016 that will put the spotlight on the Koch brothers as a very important force. And they are our brothers."" On March 8thth, 2017, Koch Brothers Media Group launched a grassroots campaign where they are ""sponsoring a three-day mini-event called 'LIFE by the Koch Brothers: Political Education for Citizens of Colorado' where Koch members give $2,800 to a youth organization dedicated to education, youth development, and youth leadership. The event will have over 30,000 people, with an additional 10,000 to 20,000 volunteers at the full event, which has not had to be officially announced at this time.""

No, they don't just ""sponsor"" it. There is a very specific ""Super PAC"" on its website, giving more than $4,000, $5,000, $7,000, $10,000, $15,000, and $20,000. It says they"
11;"How does the population growth in Detroit reﬂect the growth of the Auto Industry?
";"How does the population growth in Detroit reﬂect the growth of the Auto Industry?

Our answer for Detroit Auto Trends is very complicated. We know the growth of the Auto Industry from the 1990s through 2012 was about 1.45 percent. This is the same year the auto industry surpassed Toyota in its number one spot at the US Auto Trends title. However, this number might have been significantly lower in the 1990s, but is now around 2.28 percent.

The question is how much increased vehicle supply and demand the Detroit Auto Industry has been doing in Detroit, and how much that increase has created or destroyed jobs. It also seems to be the case that Detroit needs more jobs to meet its long term budget targets (it was $18.7 billion under the 2008 budget in the year ended March 2012). That brings us to the second question: how much of this growth has come from sales of the Detroit auto industry?

In addition to sales of automobiles (which are also used for production of automotive technology), there are more tangible jobs that Detroit has created. In addition to sales of the Detroit auto industry, there are job creation on a number of other fronts, too; automotive manufacturers are increasingly producing consumer goods to meet government demand.

We want to take a look at these jobs to determine how much Detroit can do to offset this growth by increasing demand, as well as to determine where Detroit's auto sector jobs come from. We should be able to determine the exact percentage jobs Detroit is doing in the automotive community if we were to go back to the"
12;"How did labor change and stay the same from pre- Industrial Revolution to during the Industrial Revolution?
";"How did labor change and stay the same from pre- Industrial Revolution to during the Industrial Revolution?

The changes that resulted in the emergence of the industrial economy were, and are, primarily, caused by the rise of new technologies and economic conditions. We need to examine these shifts in labor.

The Industrial Revolution has enabled a new type of labor: those who were working during the Great Depression and the Great Recession (Figure 6). As these young workers entered the Industrial Revolution, they have been producing very high levels of low-paid, non-foolish wages, as well as many low-paying, industrious jobs. The labor force participation rate, which is higher among nonwhite workers than among black workers (Figure 7), went down to about 30% on average between 1928-40, when the second Great Crash (the Great Depression) broke out (Figure 8). This level of participation had declined from 20.1% in 1929 to 10.8% in 1950. But it also held steady between 1928 and 1950, falling to less than 2% between 1950 and 1964, and dropping to less than 2% for 1967. And the participation rate rose for most groups of persons, too.

When labor came to an end in the 1930s, however, this participation rate fell dramatically and remained so until the Great Depression (Figure 9). In these terms, it increased from 2.3% in 1929 to 8.7% in 1935 and 8.7% in 1936 (Figure 10). It went down from 3.7% in 1929 to 3.8%"
13;"What inventions greatly changed how Americans work?
";"What inventions greatly changed how Americans work?

It's difficult to predict what inventions will make us better at jobs, and it's hard to know when a new invention will have the biggest impact.

Here are four notable inventions — from high-tech to high tech jobs — that have inspired a boom in the private sector today.

5.) Google Glass: Glass was invented by Google engineers and designers as part of its mobile-first initiative, in order to better match mobile data usage and the growing appetite for inexpensive, affordable alternatives to expensive smartphone devices. Today, it is the fourth-largest cloud computing company in the world and is well known for its proprietary Android operating system, and especially its popular Android browser. This software includes lots of neat features but has many shortcomings as consumers struggle to find what they want on their smartphone. It's a no-brainer to buy Google Glass right now.

(Image credit: Google)

6.) Google Assistant: A key piece of Google's product portfolio is its Google Assistant, an android and augmented reality-ready virtual assistant designed to solve personal situations. It is known as an in-box assistant. It uses its own internal processor to create audio, interact with people, and track their movements and interactions with the information it's available to it. With a tiny device that can do this, it makes real world experiences more immersive and compelling.

(Image credit: Google)

7.) Tesla Motors: Tesla Motors first unveiled its first Model S in 2002 when"
14;"To what extent did labor beneﬁt from the Industrial Revolution?
";"To what extent did labor beneﬁt from the Industrial Revolution?

Well, labor must have been an important force in the development of agriculture in India. It can be found throughout much of the region and in very much of the subcontinent. This is the context for India's industrialization of agriculture. During the early 20th century, India used to have a low rate of industrialization for two reasons:

1 — The population of the country was small, and at the end of the same period, agriculture was virtually unknown. The country was also not a capital city or a major metropolis. This means that when it began to have its own economic capital, it did not have a complete industrialization program. It was more of a rural community and a few other things.

2 — In order for this to be a success for agriculture, it needed to come in under the strictest and strictest labour regulations, as a consequence of which the production and use of the agricultural product was not strictly controlled. This meant that without all the labour required under these regulations, the product would only be of limited value. The government of India, under the direction of the government of Bihar, established certain requirements that the agriculture process must not be carried on for profit. While small landholding companies (not having the capital, the necessary facilities, and the technical ability to handle the demand), could manufacture and use, they were usually not considered part of the industrialized portion of the district and the farmers were not able to make any small loans to them"
15;"To what extent did government interact with the economy?
";"To what extent did government interact with the economy?

The government's response to the World Economic Forum. In 2009, it declared three ways government officials should act: be a party to the global treaty on climate change; be a member of an international consortium that seeks to develop sustainable energy and support energy efficiency in development strategies; and be a party to the Paris Agreement. The other three can all be made part of a wider economic development strategy. For this reason, the WTO did not allow them to go forward without parliamentary approval. Under Article 2 the Government must have a ""reassessment"" of a proposal before the UN's decision is taken.

The OECD also does not take up these issues explicitly, but the three scenarios that emerge are all underlined by the UPI, which includes this report:

1. For companies (including ""high-profile international firms"") which do not fully comply with the OECD's ""Climate Agenda 2025"", a new round of review to address issues surrounding their sustainability. In 2013, for example, companies with more than 25% of their products sold in the developed world – a figure well below global norms – were required to comply with an ""unfair and deceptive"" risk management scheme. (The report, which was not published on the Government Publishing Office's website, does not include the OECD's mandate to act on issues as outlined in its own reporting.) The Global Green Economy Report found that ""in light of these global climate challenges and its clear implication that economic climate change is likely to continue into"
16;"The Cross of Gold Speech Check out an excerpt of the “Cross of Gold Speech” here! What grievances does William Jennings Bryan address in this speech?
";"The Cross of Gold Speech Check out an excerpt of the “Cross of Gold Speech” here! What grievances does William Jennings Bryan address in this speech?

(1) How much more will Robert Mapplethorne's writings have helped U.S. politicians than what John Mapplethorne did in his defense of the Englishman's right to write a speech in the form he did. His defense of the Englishman is, according to what Mapplethorne wrote, a matter of ""his own free will.""

And yet, if our Constitution is supposed to be as free as possible from tyranny and interference, did Paul Vitter say that what he is writing in this Declaration for the People of the United States ought to be the Word? No, the word seems to have been put in context. It means the concept of free speech, and that was the purpose of the Declaration of Independence. What did Halleck, Jefferson and W. P. B. DuBois say about that word? How about that fact that, when the word was used as a reference in the Declaration of the Rights of Man, it was deemed more appropriate to say that the freedom to dissent was based on freedom to speak in that way, and not on the freedom to criticize? Well, they were not right. Because DuBois said that freedom by definition is independent of reason and reason alone.

That, however, was a mistake. Our free press was always free to debate and to debate, and it would be wrong not to have our representatives in Congress use that free press. In fact, many of us have been using"
17;"How does he compare farmers to those on the Atlantic Coast?
";"How does he compare farmers to those on the Atlantic Coast?

Boucault says in the Atlantic coast there was an abundance of Atlantic cod because their numbers have decreased, especially while their numbers are rising. ""They eat a few extra fish a day, and they get to eat more fish on their land. You can see more of the bluefish in the same area as the big boys in Washington, and that's definitely for fishing, too."" And with the Atlantic coast getting a new tide and changing the way salmon runs, he adds, there's more than enough food to feed any one couple.

""As far as salmon goes they're big blue, the largest red, most colorful fish,"" Brunault says.

The Great Salt Stream for this story has been part of a series of documentaries by The Atlantic Coast Reporter."
18;"How does this speech represent the goals of the Populist Party?
";"How does this speech represent the goals of the Populist Party?

What does it mean to be a Populist? In other words, to reject politics because it's so divisive.

The Populist party did not have the power to stop the European Union because of Brexit. We chose to have it because it has a different vision of Europe than the Conservatives.

We chose to have it because the Tories were in charge of the EU's political machine and there is no question that we can stop them in the long run.

How has the Populist party changed my view about the European Union?

The party is in a great state right now. For the first time in their history they have successfully tried to change society in their capacity as leaders of the Eurodéma. We have to be honest with that, they aren't even ready yet.

It is possible that the Populists are just a joke. They are making their political decision because they want to be seen as not one in the centre like the Conservatives. It's that simple.

The party needs to try and be a part of politics on a much bigger scale than just talking about Britain's destiny.

What have you learnt from the British vote?

We have learned from that. When the Eurosceptic parties of people like Boris Johnson are out and about on stage that is one of the lessons we can learn from this vote.

People in Brussels have learned that this is the future. We have learned"
19;"Think Geography! Why would more Asian immigrants enter through California, while more European immigrants came in through New York?
";"Think Geography! Why would more Asian immigrants enter through California, while more European immigrants came in through New York?

A few of the authors, including Stephen K. Dubner and Joseph M. D. Ruhl, analyzed their data through surveys of ""immigration data from the 2000 census in South Carolina, the 2013 census in Indiana, the 2013 census in Texas, and the 2015 census in Illinois…The results tell a very interesting story – one that will affect us as an immigrant to North America.

In the 2014 presidential elections, as many as 4.4 million immigrants moved to California in California over two years, some of whom were students who'd lost family members and have been unable to move to a better paying U.S. university.

In this report, Dubner and Ruhl show in much greater detail that California is one of 19 states in the country where college tuition and living expenses are a major source of cost to the American taxpayer.

Ruhl and Dubner, who are co-author of ""California,"" analyzed data drawn up by the government's Office of Tax and Budget about the number of California college-going freshmen and graduate students who applied for U.S. citizenship as of the time of this report. Over the years more than 150,000 young people applied to the state's three universities in 2015, and up to 900,000 went on to become U.S. citizens.

What does all of this mean for the California high school educated in California today?

After graduating with a degree in economics, Ruhl"
20;"What challenges did American society face?
";"What challenges did American society face?

1) The Great Depression. American manufacturing was struggling and Americans felt threatened. It was one of the first major industrial disasters to strike the United States, and the Depression led to a massive trade war between the United States and China in 1929.

2) World War II which ultimately ended up causing more misery and bloodshed than any other war on record.

3) The war was ultimately followed by the creation of nuclear weapons. In addition to military adventurism, the war produced a record of economic misery in much of the world. Despite this, the military's effectiveness had failed to do much to improve the world, despite it not getting the benefit of the American economy.

4) The great financial crash of the late 1980s and early 1990s, and a subsequent depression that is still going on and continues to this day. Many experts still believe in the role of the American economy and the role of the Fed and other central banks to stimulate the American economy.

5) The economic crisis of the early 2000s. An independent analysis by Barry Eichengreen of Columbia University and Gary Wehrey of Johns Hopkins showed that the economy was experiencing record gains in investment, employment, and wage growth. But there was also a long-term recession, which started at about 3.5 percent in 2000, but actually picked up in 2008.

6) The Great Recession. In a new book, economists have found a strong need for a ""sustainable"
21;"How did Americans respond to these challenges?
";"How did Americans respond to these challenges?

It's interesting that we had a tremendous success at a number of local levels in our country. Our political leaders were much more confident and articulate around the basic issue, namely, education reform. That's why we got so much support for it, because a lot of those issues were about reducing spending cuts at the expense of our kids, a whole number of other concerns, such as jobs. That's why many of these initiatives are still bipartisan, and many of those initiatives are still deeply connected to local communities.

The other thing about national politics is that if national politics don't work the way you want it to—if we don't talk about education reform, where does it go when the rest of that comes up? What are you saying about that now on the campaign trail? A lot of American people are worried about what's happening in the Democratic Party. If we lose the election if we don't talk about education reform, when can we expect to see the kind of reform you and I have talked about?

How much of our campaign has been focused on education?

I'm not talking about the race—I'm talking about the political issues we deal with the most in a particular time period. In the primaries, where we all talked about education reform, we talked a lot about education reform, and we spent a lot of time talking about those issues, which is a really good story to tell. I think everyone is trying to make this election the biggest day"
22;"What were the goals of reformers?
";"What were the goals of reformers?

What do we mean by this? Let's get into the specifics. So let's say I had a simple policy on social security, which is, no one should ever be in poverty. That's what Social Security does. But it's the only policy we've taken.

The reason why not reform is that it has so much good, it has so much bad. We would love those kinds of reforms, and there would be no problem. Then all those regulations that, you know, people have been pushing have no problem. What happens is if you have a very big, well-funded welfare bureaucracy that's going to be able to keep going and maintain them, and it's going to manage the problems of this individual who, on the other hand, who wants to be counted as middle class (laughter). And if they have a large pension that they're not required to get, and even if they were, say, you know, you just won't get a tax cut, where do you go for you, how much does that mean?

Are you worried and worried enough about that that you're not going to take the money out of the system because these people are suffering from chronic poverty?

That's what we have to do. I don't think we're concerned enough about that to take any money out of this country. The problem that we have to solve is that our welfare system is a giant system, and we have to put in place big"
23;"How are the articles in the gallery above examples of Muckraking?
";"How are the articles in the gallery above examples of Muckraking?

It's interesting to see that people who wrote something very self-evident about Muckraking usually didn't take any personal offense.

In a lot of ways those self-evident statements don't matter to me so I'm not particularly surprised.

But I think that those who aren't a Muckraking are getting caught up in a ""you know what"" mentality.

That's where you can find people who are making fun of the idea that any real understanding of Muckraking is really necessary because of those very vague things that Muckraking is not.

So this may not be a particularly clever idea but it sure seems like some crazy stupid idea to me.

It's also pretty amusing to see this kind of thing happen.

It's been suggested that Muckraking isn't unique to Minkism, that its origins go back as far back as the late 1800s in some places where people thought Muckraking could be a word, and that they were able to trace its ancestry back to it.

Some of those Muckraking were quite well known, such as the French theorist, Louis de Tocqueville.

Others, such as the Irish writer, the celebrated Muckraken historian J.W. Hickey is known for saying that Muckraking is related to the word Lúrtha with the words Muckraðra,"
24;"What potential problems can you identify in the Triangle Shirtwaist Factory that may have contributed to the death of so many workers?
";"What potential problems can you identify in the Triangle Shirtwaist Factory that may have contributed to the death of so many workers?

My experience is: they did all of the safety issues, because they're pretty well known and the Triangle Shirtwaist Factory was very well known. But it's kind of a different experience and I have a feeling they had similar problems for the workers.""

Bruner said he couldn't be certain and couldn't say for certain who it could be but he thought about hiring someone to examine possible problems.

""It's just really sad that it doesn't seem to be getting better every day,"" she said.

What exactly could have caused the death of all the workers at the Shirtwaist Factory?

""I think that the production team knew we needed to get the factories cleaned up a little bit and had to go.

""It was kind of a bad decision to put them at risk,"" she said, referring to safety standards, and saying she'd been unable to convince the two sides they couldn't put the company in compliance with them.

Another employee said the company's owners knew the problems at the factory and that when a fire started at the plant, the workers were told to wait.

It's not clear at this time when those other four workers were injured but in all likelihood they died soon after the fire started."
