;Question;Response
10;"How does this document reﬂect the ""Forty-Millionaire Carnegie in his Great Double Role"" political cartoon?
";"How does this document reﬂect the ""Forty-Millionaire Carnegie in his Great Double Role"" political cartoon?

As I've said before, the political cartoon is a fictionalized biography with no factual basis. The story doesn't contain any historical context or contextually significant events, but rather contains several brief scenes of an internecine struggle between the rulers of the country and those within the state. The only thing that keeps it from being a historical account of the great, political genius of Carnegie is the political caricature of his life that comes from his ""one-hundred-million-dollar-a-year"" operation in the early nineteenth century to push the British monarchs to support his plan to annex the Soviet Union from the USSR.

There are certainly few people who can identify with one of the three main stories in Robert Crumb's novel of the same name, which takes place more than 200 years after the founding of the United States and which also features two significant, but somewhat misunderstood, characters.

In the novel's first two parts, Crumb tells the story of the Great Carnegie, who in 1790 attempted to annex the Soviet Union from France in a bold attempt to make a grand bargain with the Soviet Union. As the novel illustrates, the situation there was more complicated than some of the other events of the Great Century. The Great Carnegie was not a leader of the free world, but only a rival. He did not have to"
11;"How does the population growth in Detroit reﬂect the growth of the Auto Industry?
";"How does the population growth in Detroit reﬂect the growth of the Auto Industry?

Detroit Motor City: Automobiles are still a dominant source of employment in this city – they account for the majority of Detroit's manufacturing employment. To reduce the auto industry's reliance on Detroit, this year only 13.7 percent of the automobile manufacturing capacity is needed to maintain a level of employment in this city, which is significantly lower than the figure at 29.7 percent, and is almost exactly what we would expect from a city of only 16 million people once its industrial jobs are gone. Automobile production in the city is about to rise again and will continue to generate $7 million in revenue each year from the new production.

How does the population growth in Detroit re·�ate the growth of the new manufacturing jobs in this city?

Detroit Auto Industry: If the Detroit factory that produces the automobiles and trucks comes back to life, Detroit Motor City will produce only about 11,000 vehicles per year. As a direct result, Detroit Motor City will have an employment rate of about 8 percent annually, which is roughly twice the national average.

How does the population growth in Detroit re·�ate the growth of the manufacturing jobs in this city?

Detroit Auto Industry: In 2015 automotive and trucking employment in Detroit grew by more than 1,000 in the nine years prior to the new Michigan Automobile Manufacturing Act. Although the auto industry has increased considerably"
12;"How did labor change and stay the same from pre- Industrial Revolution to during the Industrial Revolution?
";"How did labor change and stay the same from pre- Industrial Revolution to during the Industrial Revolution?

As labor became more efficient, the use of labour for industrial agriculture started to increase sharply, and so the use of labour for manufacturing changed so much that the production of agriculture was considered more efficient than that by many other workers.

Since the Industrial Revolution, in which the efficiency of the industrial production began to decrease, the use of labour for the industrial production by the majority began to increase.

As a result, in the early part of the Industrial Revolution, industrial farms became more efficient.

From the fall of the Iron Age, and the introduction of an artificial working day in the 19th century, mechanization was to begin. However, it would take several centuries for farming to recover its former levels with the advent of machines. This process would take several million years more for crops to have sufficient levels of fruit and vegetables and for fish to grow.

Industry in Europe, America, Japan and elsewhere has been the first to make use of the industrial and mechanized processes for growing crops without any work being done.

However, in China and Korea, production of agriculture has continued to decline, with all the products being used by small groups of people.

How many factories have been built since the Industrial Revolution?

Each industrial industry is connected in the production of all the agricultural products that are grown and processed.

What are the basic characteristics"
13;"What inventions greatly changed how Americans work?
";"What inventions greatly changed how Americans work?

What inventions greatly changed how Americans work? I was born on November 11, 1947 -- I am an American, I am a computer user. I do not get paid to write books, this isn't your average American, it's a lot wealthier. All that is required by American law, it's for American government.

You have worked hard at this for a long time and your writing this book is a big contribution.

You have worked hard at this for a long time and your writing this book is a big contribution. My first book will tell the story of two people -- the writer is the first and the writer is the last one, it's a giant opportunity for the reader and a massive story with a lot of great content and great writing.

If I am allowed to create this book as a self book and then as an e book, I will create the story along with some of the great writers and great stories that have touched all the generations and the generations of women and women without exception.

This is the first thing I want to talk about and will be very interesting.

I think the people who were the people who were the heroes of the time knew everything about us and the world. Their love of art and the passion of literature in the United States. They knew the history and the culture in the United States. That was the reason many of these groups and their ideas came so early and"
14;"To what extent did labor beneﬁt from the Industrial Revolution?
";"To what extent did labor beneﬁt from the Industrial Revolution?

As labor became more and more important to industrial civilization, industrial agriculture began with the invention of hand tools. Once again, labor was an important ingredient in the production of agriculture. The industrial revolution also required labor to produce tools. After the Industrial Revolution, the production of tools became far more important.

The importance of labor as a component of the industrial revolution grew with both men and women. Men became richer and better able to provide food and labor for the needs of industrial communities. Women became less likely to be in labor, and they became more and more dependent upon men. In spite of the importance of labor to industrial civilization, labor does not always serve to supply products.

Hence, labor is often associated with certain behaviors that are associated with capital accumulation. Labor helps make the product more valuable to the consumer because labor reduces the price of labor, because it reduces the quality of labor, and because it increases the price of labor that produces an item.

One result of labor is that in the long run, labor helps create the production of consumer goods. At higher production levels, labor is a significant source of cost savings to the consumer because people who work more are much more productive. In this way, labor is also a source of economic growth.

What does the present social inequality mean to the future of the economy? This question is difficult to answer, since many different economic groups"
15;"To what extent did government interact with the economy?
";"To what extent did government interact with the economy?

The government has played an important part in building the foundations for our economy with our support, and those factors are what drive current problems such as high unemployment and high inflation. However, it did not control for many economic processes in place while doing so. For example, over the years we have witnessed the increase in government spending to boost the national budgets to match our demand rather than to satisfy the private sector.

In 2009 we introduced the FHA (Fiscal Responsibility and Reform Act - 2009 - a bill that requires all provinces to develop a plan and a budget to generate sufficient revenues to ensure the country is financially responsible for the health and well-being of its citizens). We also introduced the FEE (Federal Income Taxation in Fiscal Year 2009). We introduced numerous programs of interest to provinces and territories that are in need of capital and labour. Government also provided significant, but limited funding in areas that need it most. However, in the first instance, we are continuing strong and doing more to promote growth in these areas.

This is partly because we have a much richer and more prosperous business climate. Our industry, with all the capital necessary to support its expansion, has been much more productive over the years but our jobs are becoming more and more precarious.

In January 2012 the Government introduced the FTFE Act - the largest labour legislation introduced in the country. That legislation increased taxation and investment for many industries, increased"
16;"The Cross of Gold Speech Check out an excerpt of the “Cross of Gold Speech” here! What grievances does William Jennings Bryan address in this speech?
";"The Cross of Gold Speech Check out an excerpt of the “Cross of Gold Speech” here! What grievances does William Jennings Bryan address in this speech?

“(Note that the original question was not about money, as this is part of a larger story about what William Jennings Bryan means by'money' here.)

What about this argument that Bryan doesn't speak in terms of free will or self-determination? In this same essay, he discusses how such a philosophy exists only in theory:

The idea that men and women are free to determine their own lives and lives; and, as an attempt at such a way of doing it, what I've come to call'self-deception', or, rather, 'the lie', is that the individual lives in this way but believes, to some degree, that one does something about that by doing so. To say that this way of doing it depends on people doing anything they can to avoid the idea that they have a right to do so because, in this sense, they don't, is to make us feel the moral pain of moral nihilism. In the course of this self-deception, there is a difference between those who believe in free will and those who believe in free will. The self-deception that people make about how they live according to their own free will requires us to treat those who believe in such a way as being essentially free in the same way.

What"
17;"How does he compare farmers to those on the Atlantic Coast?
";"How does he compare farmers to those on the Atlantic Coast?

""It's really interesting because the Atlantic shoreline is very large in this country -- I'd bet the farm lands down to the south are similar to your average farm land. The Atlantic coast is a fairly shallow flat shoreline and the coasts are very, very, nice. I think the only thing that's really different is the Atlantic shoreline doesn't have such a strong, narrow, straight wall of water that it would make for a very dense sea.


""The way you would know a place by the sea is that they have the same amount of fish, but they don't have the same amount of plants and animals to get that amount of food. They use lots of different kinds of plants and plants with different kinds of fish and plants with different types of animals to make the fish. It's really really rich and rich.""

How much work, how much time?

""That's how it's going to turn out. We're just continuing and coming up with this big picture to have the map of the future of America and how it could be made more useful by having more fish. My guess is the people who need the fruits of that will move from Oregon back to the Atlantic because they're living in Oregon. The farm owners who do the fishing in the state of Oregon would have the money they need to do it.


""But, my guess is that it's just not"
18;"How does this speech represent the goals of the Populist Party?
";"How does this speech represent the goals of the Populist Party?

As I've said before, the political parties are very closely aligned with the people of this country. What the parties are for should be so similar that your reading should not be considered different from this.

This government also aims to address the growing concerns that are coming from people of the other nations.

On the occasion of the inauguration of President, I want both men to understand our country.

They will know that the people of this country are under attack. We are confronting a situation that has reached epidemic proportions.

The government will protect our rights. We will ensure the rights of the peoples and of the country, but we will also show the people that one party rule does not rule our way.

Now, we want to be clear of the obvious: there is no such thing as a right.

There is, indeed, an absolutely right in every single way, even to make laws and to defend ourselves.

We don't want to be governed by any kind of dictatorship, of a dictator or of any kind of military force.

We want to be democratic, tolerant and strong. This is why democracy has been so important.

The reason we're all here is because we feel that the government has failed them. There has been no plan for how the money will be spent in order to keep living in the same conditions.

Here are"
19;"Think Geography! Why would more Asian immigrants enter through California, while more European immigrants came in through New York?
";"Think Geography! Why would more Asian immigrants enter through California, while more European immigrants came in through New York?

Immigrants from China and Korea are still a problem in California, as are people who hail from Central and Eastern Europe and are not native to Mexico.

You are probably telling me this isn't your place. The first thing to know is that people don't leave because they think, ""Oh my God, we lost them."" People don't leave because they think they've gone to see someone. They leave because they know they're going to be in the same neighborhood. People leave because of bad things going on in their neighborhood and because the community will stop making them.

They leave because they can see and understand what's going on in their community. They leave because they know that if there's a new building in the neighborhood, there will be a new building in the community.

Immigrants have already lost some people over the past two decades, but the reason the residents don't leave is because they think they've escaped injustice.

Some immigrants and their families have tried to convince the California courts to allow their children to remain in California.

Many of them have. They will. They will be there to tell people the things they believe happened here. Many of them will know that they lost their families and that's how things work out.

They will be there to support the people they need to fight for. They will"
20;"What challenges did American society face?
";"What challenges did American society face?

American society has always been a struggle to change. As a country we have been pushed, under military occupation, to become more like France and Italy – a country with strong democracy. This has led to an endless economic collapse, and now we are running out of things to spend. And, most urgently, American society is trying to make sure that the next generation gets paid for their work. As this generation grows up, we need to remember we lost millions of our people to war and poverty. We want to help them be paid for their work, and we are making that abundantly clear to many in the rest of the world.

There are certainly other challenges. They may not seem serious to you, but our economy is in serious trouble. This year in France, France has more debt than it should be, as people are desperate to borrow as much as possible, and the government has put an end to even the idea of holding the economy hostage.

Some analysts and historians say that this debt is the biggest problem for Europe. They suggest that France is a country now in a different time. Why? Because the European Union failed to save the economy from financial collapse. It failed to save us from economic collapse and the world. It failed to save us from rising prices. It failed to save us from growing debt – and the rest? This year's debt is expected to be much higher than last year's because the European Union did not"
21;"How did Americans respond to these challenges?
";"How did Americans respond to these challenges?

President Clinton: Well, the question isn't whether we believe in government-run businesses, but what the president said and did should be on the record.

Hillary Clinton: I think this is important to understand when it comes to economic policy. And that is that if I'm president, I'm going to be trying to look at the economic risks, the economic benefits, and the risks to our economy that we might not have had before. And I think what we can do—well, we should be looking at whether we have a plan and a plan based on how that could be addressed."
22;"What were the goals of reformers?
";"What were the goals of reformers?

They didn't just want radical change to change everything. They wanted to get people out of poverty. And there was no reason why government should try to do any of those things. They wanted to change power to the government.

We are not being governed by government. We are being governed by individual citizens, not by those who have the power to set their own agenda, such as our founders. That's a responsibility we must take seriously.

I heard from several leaders—from the Democratic delegates in the Illinois Senate to Bernie Sanders himself and a number of former House members like Martin Heinrich—that the new House agenda would mean that the Democratic Party would move to the center and be governed by the superdelegates in the House of Representatives—thus shifting those of us who are from the Democratic Party in those places towards the progressive wing of the party.

I heard the story from a few of the members of South Carolina that you have—if the Democratic Party can change a majority of the House majority, if it can't change their vote in a majority of ways, then that will change that. Where is they taking their influence? They're taking their money from the middle class. In this environment, the Democratic Party must do what is right. They must give in the will of everyone who loves the Party and the will of the people.

What are you most concerned about right now—the decline of the Democratic"
23;"How are the articles in the gallery above examples of Muckraking?
";"How are the articles in the gallery above examples of Muckraking?

What are some people doing that are different than others in our community? Discuss in the thread under those.

Join the conversation:


Like? Share? Write


Send this article to your friends"
24;"What potential problems can you identify in the Triangle Shirtwaist Factory that may have contributed to the death of so many workers?
";"What potential problems can you identify in the Triangle Shirtwaist Factory that may have contributed to the death of so many workers?

As you mention in that short video, I was in a large meeting with people who, in an attempt to determine some of the problems, would do a better job of answering my questions. I asked about many things, including safety issues, how many people that shirtwaist factory produced shirts.

I had a question about the idea of the shirtwaist factory becoming a manufacturing facility, and what they might do with it. It was not an easy one. It was the hardest one.

So I asked, ""Is this the solution anyone wanted?""

I could not explain how people can see and understand what my problem is, because it would take several months to get something done, and then somebody could say, ""You know who in this room is getting more and more anxious that this shirtwaist factory is going to start producing shirts when it's done?""

That is, even though it's going to become a manufacturing facility, the shirts could be more expensive, or in the long run, it's going to make people less of a factory worker.

So is that something the people need to talk about?

For one, I think some of us in this audience want to see more regulation. Maybe the government has to take action in the future. It would be nice to see the government take action."
